month,day,Daily_Temp,Daily_Precip,Daily_Humidity,Daily_Pressure,Daily_WindDir,Daily_WindSpeed,Daily_DNI,Daily_DHI,Daily_radiation
10,25,30.91538461538461,35.392307692307696,37.23076923076923,930.2307692307692,59.92307692307692,4.053846153846154,207.07692307692307,290.0769230769231,474.5384615384616
4,15,27.56153846153846,31.315384615384616,51.0,931.2615384615384,101.3846153846154,1.9307692307692303,334.15384615384613,109.3076923076923,355.38461538461536
8,28,28.200000000000003,16.766666666666666,26.666666666666668,929.9416666666664,110.33333333333331,2.891666666666667,485.4166666666667,163.33333333333334,501.75
10,15,29.785714285714285,13.271428571428572,23.0,928.0642857142858,59.57142857142857,3.257142857142857,535.0,145.42857142857142,548.2142857142857
11,28,27.75,28.628571428571423,41.85714285714285,931.7857142857144,55.785714285714285,4.735714285714286,654.0714285714286,98.0,587.2142857142857
8,25,25.16666666666666,15.283333333333331,29.25,932.625,88.5,2.65,631.6666666666666,110.91666666666669,523.5833333333334
1,22,23.26153846153846,46.169230769230765,85.3076923076923,922.0076923076922,75.07692307692308,1.3307692307692305,424.84615384615387,225.3846153846154,532.2307692307693
9,12,23.58333333333333,12.875000000000002,34.083333333333336,936.2833333333332,65.33333333333333,3.725000000000001,584.9166666666666,140.16666666666666,560.25
2,23,26.73846153846154,24.06153846153846,55.23076923076923,916.6692307692308,67.0,1.784615384615385,599.4615384615385,135.92307692307693,589.8461538461538
8,25,26.90833333333333,17.975,35.416666666666664,932.175,53.083333333333336,3.775,603.5833333333334,115.16666666666669,515.0
2,5,24.83076923076923,37.16923076923077,77.0,915.8076923076922,94.46153846153848,2.3,310.15384615384613,259.46153846153845,511.5384615384616
3,3,23.015384615384612,44.57692307692308,78.3076923076923,931.976923076923,71.07692307692308,4.069230769230769,0.0,146.15384615384616,146.15384615384616
11,2,29.385714285714283,32.82857142857143,40.85714285714285,931.4428571428572,56.42857142857143,4.878571428571428,496.4285714285714,157.5,542.0714285714286
6,19,19.83333333333333,12.591666666666669,43.25,940.6333333333332,116.58333333333331,1.7,675.1666666666666,59.16666666666666,428.8333333333333
6,8,23.05,11.541666666666666,34.833333333333336,940.3916666666664,105.08333333333331,1.45,665.5,65.41666666666667,436.0
8,22,20.530769230769238,16.215384615384615,45.30769230769231,940.3307692307692,80.92307692307692,2.207692307692308,510.46153846153845,110.53846153846152,457.0
6,3,20.633333333333336,15.6,51.5,937.0583333333334,100.5,2.4,665.1666666666666,61.75,435.25
5,25,22.4,17.425,45.083333333333336,934.1166666666668,124.83333333333331,1.7999999999999998,611.75,88.66666666666667,437.25
10,13,26.942857142857147,12.907142857142858,32.0,931.914285714286,61.0,2.964285714285714,665.9285714285714,87.64285714285714,567.1428571428571
7,23,20.85833333333333,11.308333333333332,22.166666666666668,939.625,148.5,1.8583333333333327,593.8333333333334,95.75,446.6666666666667
5,9,22.966666666666665,21.725,51.083333333333336,936.975,75.08333333333333,2.4,540.3333333333334,108.91666666666669,450.6666666666667
8,20,26.2,11.008333333333336,23.0,931.3333333333334,119.66666666666669,2.475,653.0833333333334,96.0,518.0833333333334
2,6,23.707692307692305,42.66153846153846,82.07692307692308,915.8692307692309,68.38461538461539,2.930769230769231,32.61538461538461,182.07692307692307,192.3846153846154
2,2,26.16923076923077,45.8,74.3076923076923,929.6615384615384,93.07692307692308,1.7692307692307687,140.69230769230768,266.0769230769231,371.0769230769231
8,30,23.625,19.1,48.41666666666666,933.6,59.333333333333336,4.516666666666667,366.8333333333333,198.41666666666663,456.75
